tahun,bulan,benua,region,nama_negara,nilai_ekspor
2005,"Januari","Amerika","Amerika Utara","Amerika Serikat",732331
2005,"Januari","Amerika","Amerika Utara","Kanada",38332
2005,"Januari","Amerika","Amerika Tengah dan Selatan","Argentina",9764
2005,"Januari","Amerika","Amerika Tengah dan Selatan","Brasil",20794
2005,"Januari","Amerika","Amerika Tengah dan Selatan","Meksiko",17316
2005,"Januari","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",31987
2005,"Januari","Eropa","Uni Eropa","Belanda",148507
2005,"Januari","Eropa","Uni Eropa","Belgia",77583
2005,"Januari","Eropa","Uni Eropa","Inggris",91674
2005,"Januari","Eropa","Uni Eropa","Italia",81547
2005,"Januari","Eropa","Uni Eropa","Jerman",127154
2005,"Januari","Eropa","Uni Eropa","Perancis",51535
2005,"Januari","Eropa","Uni Eropa","Spanyol",104037
2005,"Januari","Eropa","Uni Eropa","Uni Eropa lainnya ",82255
2005,"Januari","Eropa","Rusia","Rusia",12005
2005,"Januari","Eropa","Turki","Turki",30500
2005,"Januari","Eropa","Eropa Lainnya","Eropa lainnya",20274
2005,"Januari","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",2279
2005,"Januari","Asia dan Timur Tengah","ASEAN","Filipina",71489
2005,"Januari","Asia dan Timur Tengah","ASEAN","Kamboja",6737
2005,"Januari","Asia dan Timur Tengah","ASEAN","Laos",76
2005,"Januari","Asia dan Timur Tengah","ASEAN","Malaysia",231453
2005,"Januari","Asia dan Timur Tengah","ASEAN","Myanmar",4569
2005,"Januari","Asia dan Timur Tengah","ASEAN","Singapura",548302
2005,"Januari","Asia dan Timur Tengah","ASEAN","Thailand",187487
2005,"Januari","Asia dan Timur Tengah","ASEAN","Vietnam",47904
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",93558
2005,"Januari","Asia dan Timur Tengah","Asia Selatan","India",179894
2005,"Januari","Asia dan Timur Tengah","Timur Tengah","Irak",8150
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Jepang",1305568
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Korea Selatan",580011
2005,"Januari","Asia dan Timur Tengah","Asia Selatan","Pakistan",23841
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",419050
2005,"Januari","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",38169
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",225572
2005,"Januari","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",213507
2005,"Januari","Australia dan Oceania","Australia","Australia",251415
2005,"Januari","Australia dan Oceania","New Zealand","New Zealand",42671
2005,"Januari","Afrika","Afrika Selatan","Afrika Selatan",24268
2005,"Januari","Afrika","Afrika Lainnya","Afrika lainnya",75226
2005,"Januari","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan","Ekspor yang tidak dapat diklasifikasikan",56330
2005,"Februari","Amerika","Amerika Utara","Amerika Serikat",772886
2005,"Februari","Amerika","Amerika Utara","Kanada",42052
2005,"Februari","Amerika","Amerika Tengah dan Selatan","Argentina",7811
2005,"Februari","Amerika","Amerika Tengah dan Selatan","Brasil",20813
2005,"Februari","Amerika","Amerika Tengah dan Selatan","Meksiko",19635
2005,"Februari","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",33760
2005,"Februari","Eropa","Uni Eropa","Belanda",149053
2005,"Februari","Eropa","Uni Eropa","Belgia",84690
2005,"Februari","Eropa","Uni Eropa","Inggris",103938
2005,"Februari","Eropa","Uni Eropa","Italia",88144
2005,"Februari","Eropa","Uni Eropa","Jerman",133883
2005,"Februari","Eropa","Uni Eropa","Perancis",53653
2005,"Februari","Eropa","Uni Eropa","Spanyol",113614
2005,"Februari","Eropa","Uni Eropa","Uni Eropa lainnya ",113432
